Rank,Title,Distributor,Worldwide gross

1,Avengers: Infinity War,Disney,"$2,048,359,754"

2,Black Panther,Disney,"$1,347,913,161",

3,Jurassic World: Fallen Kingdom,Universal,"$1,309,484,461"

4,Incredibles 2,Disney,"$1,243,805,359"

5,Aquaman,Warner Bros.,"$1,148,661,807"

6,Bohemian Rhapsody,20th Century Fox,"$903,755,259"

7,Venom,Sony,"$856,113,954"

8,Mission: Impossible – Fallout,Paramount,"$791,215,104"

9,Deadpool 2,20th Century Fox,"$785,146,920"

10,Fantastic Beasts: The Crimes of Grindelwald,Warner Bros.,"$653,855,901"

